idodkq,idodkcol,codigo,quadrat,nombreespecie,nombregenero,nombresubfamilia,nombreestatusbiogeo,codigocoleccion,en,numero,nombres_apellidos,parque,estratoestadistico,temporada,fecha,temperatura,humedad,vel_viento,observaciones,temperaturasuelo,phsuelo,ramas,profundidadhojarasca
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:ee4826c8-0323-4cf7-a8cb-be9ea8fb42e2,T04,Q01,Wasmannia auropunctata,Wasmannia,Myrmicinae,nativa,1,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:dfc6a064-30a4-4715-a266-7bd9d785a0a4,T04,Q01,Strumigenys emmae,Strumigenys,Myrmicinae,cosmopolita,2,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:79c1b168-e4a9-4436-9d80-f77d00f8ba69,T04,Q01,Strumigenys eggersi,Strumigenys,Myrmicinae,nativa,3,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:6ced3b3d-86f4-4bb4-bb7a-b8d87a7b8f25,T04,Q01,Strumigenys lanuginosa,Strumigenys,Myrmicinae,nativa,4,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:936d09c5-2a3a-4fe5-9e32-54873e1e12fe,T04,Q01,Solenopsis pollux,Solenopsis,Myrmicinae,nativa,5,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:1937a1e0-dc7d-4c70-afa9-df81e715bde8,T04,Q01,Cyphomyrmex rimosus,Cyphomyrmex,Myrmicinae,nativa,6,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:99f0c9c2-e5c1-4532-b6a0-95a32c873181,T04,Q01,Hypoponera opacior,Hypoponera,Ponerinae,nativa,7,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:4c463d52-6abf-4fa5-a995-19ec445fe901,T04,Q01,Mycocepurus smithii,Mycocepurus,Myrmicinae,nativa,8,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:e95d97cd-f39c-4b8f-b7d8-c6b7454a05f4,T04,Q01,Pheidole moerens,Pheidole,Myrmicinae,nativa,9,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
uuid:7d26696b-dbb4-4a16-b8d7-4d66427b046c,uuid:b22d5d4f-32ef-4697-bdde-4dd00de4e84b,T04,Q01,Nylanderia steinheili,Nylanderia,Formicinae,nativa,10,alfiler,1,Judá Isaí Martínez Uribe,Jardín Botánico Nacional,vaguada,seca,2017-03-09,24.1,66.7,2.3,"bosque conservado, mucha guayiga en el trasecto y alrededores, maya, lianas, framboyan, helechos, burcera cimaruba, almacigo, tamarindo de teta, guanito. Suelo seco. Q10 cayo en pendiente",26,6.6,f,5.5
